"","text","sentiment"
"108","matamu ",2
"109"," goblok deh pemerintah",1
"110"," wkwkw",2
"111","stres nih sekda abisnya cuman disuruh menghadapi wartawan diwawancarai dki gubernurnya tidur an dibalaikota ditutupi pakai gorden",1
"112"," cerah indonesia kekurangan pejabat pernyataan gobloknya",1
"113",NA,2
"114","banjir manajemen air nya salah goblok",1
"115","pejabat salah masyarakat salah buang sampah sembarangan",2
"116","ayu - orang miskin jualan sayur tamat sd biar pinteran dikit tag viral ketahuan dimana mewek kencang",1
"117","pembualan trik biar rame video ",1
"118","bagusbagus suka bodohnya alami dibuatbuat",2
"119"," lucu sih",2
"120","wkwkwk savage comment manajemen air tubuh air sekolah dimana sih brilian jenius air doang mah santai air ngerendem rumah doang mah bikin underpass kolam santuy",2
"121"," suka suka memei",2
"122","oke",2
"123","inginku kasar",2
"124","ha",2
"125","astaga",1
"126","ayo teruskan tong",2
"127"," manajemen air he said hahaha",2
"128","pengin ditampol tangan kiri at kanan ",1
"129","ywdh banjir tolong kerahkan personil bantu bantu bersih bersih banjir bantu angkat angkat barang seblum volume air coba pikirin rumahnya kelelep loh ",1
"130","semoga sukses cari muka jabatan deh aman",1
"131"," hamil yasoalnya brendam bnjir breng",1
"132"," bosnya menjabat sekda bela bosnya trz tololnya",1
"133","tahta pintar banget",1
"134","duh gusti",1
"135","lawak ",2
"136","pernyataan orang haldijepang manusia berusaha terhindar tsunami eh banjir disuruh dinikmatiyg usahanya sisanya serahkan allah swt",1
"137","ntapss",2
"138"," kerja orang kayak dinikmati coba mengomong korban banjir kalo dilempar kain pel kotor",1
"139"," memikirkan kerugian ekonomi masyarakatnya miskin empati",1
"140","dinikmati mohon maaf pejabat publik argumentasi ",1
"141","jaka sembung bawa golok",2
"142","krg dinas kependudukan catatan sipil biar ",1
"143"," tutup botol",2
"144","nikmati ",2
"145","kalo jaman ahok deh tamat tuh pejabat ngebacot ",1
"146","hubungannya banjir tubuh manusia pertiganya air ",1
"147","coba mengaca pakbapak lihat kera sakti mencari kitab timur",1
"148","jilat biar item putih",1
"149","bct luuu",1
"150","gobloknya samaan kayak bosnya",1
"151"," nya lu berdua mengaco",1
"152","pengin nabok gue",1
"153","lol",2
"154","kesel gue orang cerdas dibayar mahal negara",1
"155","pejabat goblok tuang tuh banjir mulutnya biar menikmati statement tolol banget kayak bosnya",1
"156"," gabener sekektaris nya hedehhh",1
"157","halu habis nyium lem abn",1
"158","wkwkwk mengakak",2
"159","avatar the legend of abas",2
"160","bgst wkwkw",2
"161"," tubuh isinya banjir pakahh aya wae",1
"162","wkwkkw bingung",2
"163","iyasih mengetik berantakan",1
"164","miris indonesia model menjabat berkualitas kemana ",1
"165"," ",1
"166","pejabat goblok asu muak gua lihatnya",1
"167","mengaco dmnnya",1
"168"," bodoh ya",1
"169","iya iya iyaahhh salah salah salah tuh air hujan mesti kalee ya",1
"170","dinikmati mundur enteng mulut disuruh menikmati banjir",1
"171","anjir apasih tolong terjemahin",1
"172"," mengomongnya melayani publik kota jakarta bagus tertata sekelas kota international build your legacy and people will remember you",1
"173","bagus ayo tag biar viral admin tolong bantu biar akun bodong provokator diciduk",1
"174","pengin pindahin rumah dinas kali ciliwung biar anyut sekaliankan nikmat anyut airkan bpk manusia air",1
"175","mamam noh terkibuli ",1
"176","goblog",1
"177","punten dampak banjir fokus petinggi disana kerugian material fasilitas rusak penyakit muncul mengampangkan bencana lupa tanggung masyarakat",1
"178"," warass",1
"179","kayah begonya wkwkw",1
"180"," komedian",2
"181","nikmati ndasmu",1
"182","hendropriyono",2
"183","gue injak kepalanya kepala luuu skalian gue dilapor",1
"184","kudoakan rumahmu kebanjiran ",1
"185","anjir bermutu gagagsg",1
"186","diakan orang supra natural tau ",2
"187","suruh bantuin ngepel sih bang sekda ",1
"188","orang kayak",1
"189","mengaku drun",1
"190","dinikmati",2
"191","gilalu ndro",1
"192","linkedin ",2
"193"," air air air",2
"194","eee kak l",1
"195","hah",2
"196"," tertll sih",1
"197","mengakak",2
"198"," kebanyakan minum es kepal milo kayaknya",2
"199","satr",2
"200","ashiaaap sekprov",2
"201","tolongin ",1
"202"," nikmati ",2
"203","indonesia maju orang pintar",2
"204","sih ilmu ikhlas",1
"205","mentri druun",1
"206","ya menikmati protes warga guburnur kerjaannya bacot",1
"207","guuuooobbblloooggg",1
"208","mantap goodbener",2
"209","wow ",2
"210"," wilayah indonesia terkena dampak bencana banjir jakarta kalimantan hutan banjir rumah hanyut gara banjirnya koreksi menjaga alam allah ciptakan dunia teguran menjaga alam pemerintah pusat daerah mempertimbangkan pembangunan merusak alam dicarikan solusinya biar alamnya terjaga semoga allah menjaga ",2
"211"," penasaran kuliahnya kayak ",2
"212","geregetan jawabannya ya orang percaya jabatan sekda prov",1
"213"," kayak o'on o'on nya sik",1
"214"," terlanjur hancur ",1
"215","kwkwkwkwkwkwkl",2
"216"," urusan nya argument menjleskn pakai logika urusan nya jakarta ahok coba pikir ",1
"217","seriously",2
"218","pemimpin bawahan pintar ngeles wkwk pikiran hatinya tumpul kali mengomong ",1
"219","kak l lu ",1
"220","iya otak kayaknya air ",1
"221","manajemen sumberdaya perairan ",2
"222","miris",1
"223","tutorial menikmati banjir pakai lawak saran alangkah baiknya disertai contoh biar sekian",1
"224"," banjir banjir sebulan kali ",1
"225","konyol anjing",1
"226","manajemen air gaes",2
"227","doakan biar mati kelelep air",1
"228","kau jago boskualamat kirim orang luwu banggai sulawesi selatan bosku",1
"229"," ",2
"230","kaprodi nya temannya avatar pengendali air kutub",2
"231"," pantua televisi berita banjir dijakarta berhenti nikmat didustakan",1
"232"," tau namanya linked telegram",1
"233"," bayar bot mengaco",1
"234","gua horang kayah",1
"235","masuk jalur orang ",1
"236","wa",2
"237","smlm acara tv gagap ",1
"238"," dilaporin loh kayak akun gue noh dilaporin",1
"239","lu ngapa tong",1
"240","keren deh",2
"241","ya deh",1
"242","ok twit fb ss",1
"243","mengalah mengalahkan srimulat",2
"244"," hubungannya banjir pertiga tubuh air bangzad iq jongkok mah jawabannya masuk akal",1
"245"," nikmati tangisi sekda bilang nikmati iya pemerintah daerah pantau memantau arah mengarahkan anak buah berulang berdekatan lantas berbuat gawat sekertaris daerah lumpuh perekonomian membiarkannya bertambah kerugian masyarakat bilang nikmati sekertaris sehebat mengatur anak buah mengatur jalur air sekda menjalankan tugas masyarakat susah perekonomian susah keamanan kenyamanan pemerintah daerah rakyatnya",1
"246","banjir bikin harta benda rusak beratkerugian material korban jiwa aktivitas lumpuh produktif lo gampang banget mengomong nikmati ajaada ig nih orang goblok",1
"247"," sehat ",2
"248","t a i",1
"249","mantap tunggu ya",2
"250","wkwkgk komen deh gua malas ",2
"251","dibayar bela anies kalo dikritik kerja benerbanjir setahun berkali",1
"252","kalo gj banjir tinggal jakarta kntl jaman ane kuliah deh pensiun banjiremg lo pikir xuma zamangubernur anies jaman ahok jokowi fauzi bowo sutiyoso dll ahokers pasulan togog tau pendatang warga asli jakarta rusuh dikota orang kalo kain pulkam kampung lo banjir tanggung ajwab nersama masyarakat pemerintahan nya imgat banjir parah hati hati media beritakan lahsesuai fakta uu pers uu ite",1
"253","ok",2
"254","aka menteri",2
"255","kayak lo orang kayak najis lo makan bulog otak lo kadrun nasi bungkus kencing onta",1
"256"," kau nikmati traffict light harmoni kecelakaan menerobos banjir meninggal nikmati",1
"257","goblok diumbar medsos",1
"258","koyo iklan air mineral ",2
"259","hati bang dibully penis pengikut anis lu",1
"260"," akhlak lo ",1
"261","level underdog",2
"262","ya pindahin meja kerja lo kali ciliwung tubuh air",1
"263","lebay lu nama dipukul tau salah kirim lebay",1
"264","tolong kirim nasi lengkuas buzzer eloh",2
"265"," nikmati ngopi fix anak senja nih sih ",2
"266","maksudnya tambahkan biar air gan gagal paham saiah",1
"267","makan siang kalo rame lihat komen lucu ",2
"268"," ",2
"269","hakim lho begituuu",1
"270","bikin orang gregetan dengar bicaranya sekda",1
"271","mantap kasih jempol",2
"272","hadooooohhh kocaq beneur ente badrunwalo nyelesein masalahsetidaknya kasih statement cerdasan dikit lahkemaren sperma kolam renangsekarang managemnt aerselamatkan negeriku",1
"273"," tubuh warga isinya kalo bobba ya bubble tea",2
"274","buzzer teriak buzzer dasar gelas cupang",2
"275","lho hubungannya sekolah jokowi mabok kencing onta kah akun bodong komen seenak dengkul biar diajari orang arti kewarganegaraan",1
"276"," omong doangsok jago",1
"277","otaknya ngebug ",1
"278","tos mending loh mengaku",1
"279","nyaman kau duduk kantor sewa hotel kebanjiran kabar rakyat miskin kayak nikmati kasih solusi ",1
"280","pajakmu bayar gaji orang kayak ",1
"281","tenang ojo ngegass",2
"282"," lu bilang pengendalian air biar kayak aang",2
"283","aka jaman manuisa otak diisi wawasan dianggurin kayak aka buanyak",1
"284","biar rakyat kesusahan merasakam kesusahannya ",1
"285","anjing loh panggil tuh monyet",1
"286","ahok warga negara indonesia tong lahir indonesia ktp indonesia kalo komen dipikir pakai otak pakai dengkul",1
"287"," kayak otak loh ",1
"288"," orang jakarta gemas cuk bacanya headline media bikin menarik",2
"289","kleee enak kali mengomong",1
"290","pintar ",2
"291"," bersih rumah banjir biar tau sakit pinggang",1
"292"," bingung mengapai",2
"293"," masuk angin berendem ",2
"294","sok benci cina barang nya cina pakai subsidi pemerintah pengin gua geprek lo drun ngotak ",1
"295","komentar tong",2
"296","manusiawi bos namanya tangan kanan gubernur pikiran gubernurnya profesionalitas jabatan jaman ahok pikiran ahok jaman anies pikiran anies perbedanya silakan netizen hujat",1
"297"," marah kocak",2
"298","mengomong kayak orang beol bego pelihara manajemen air pelajaran perasaan tuh tata kelola air",1
"299","statement bodoh",1
"300","sekda",2
"301","otak nya isi isi",1
"302","sentil laklakan nya enak kali ya",2
"303"," ikan hidup air gih ",2
"304","kualitas pejabat air ditubuh disamain air banjerr",1
"305"," gua gajih pemerintah ",1
"306","wajar gua muncul pas banjir gubernurnya kagak kerja dibela",1
"307"," bpk sekda dki serius ",1
"308","hubungan e opo jembut",2
"309"," banjir nikmati ndas mu nikmati",1
"310","aka baca ",2
"311","syuoggg",2
"312","wkwk nya sapa nih",2
"313","wtf",1
"314","sed dahhh pakkk benaran hati omongan nya",1
"315","cerdas",1
"316","wajar gua membela nyirnyirin dedemit peliharaan",1
"317"," kolam renang kali",2
"318"," coba tukeran rumah kebanjiran biar menikmati ",1
"319","bapaknya suruh tidur rumah kawasan banjir mengomong ",1
"320","hush gaboleh ",2
"321","hiyahiyahiya",2
"322","hubungannya situ sekolah kagak belajar ppkn",1
"323","mohon bersabar saudara ku jakarta tau orang kuat memilih beliau selamat menikmati ",1
"324","manajemen air dinikmati ",2
"325","aka goblok diumbar medsos",1
"326","dinikmati ",2
"327"," miskin harta miskin otak gua pendukungnya pakde lo subsidi teriak utang benci cina memakai barang cina lo janji noh junjungannya lo sih bowo pembantu pakde",1
"328","samapengenya dikrues mulutnya kasih cabe gilinghuh dibelain",1
"329"," skull dimana",2
"330","istimewah kualitas ajaib bapa",2
"331","maksudny dinikmati thaitea nya ",1
"332"," manajemen air indak atasi",1
"333","parah parah parah",1
"334"," ikan air ",2
"335","gemas ya bpk nya dengar jargon ayo sekolah kayak nya",1
"336","warga barbar jakarta has joining the group",1
"337","tubuh air woii dengar tuh ",2
"338","hah ahhahaahhahaha",2
"339","gublooooooooggggg",1
"340","baiq",2
"341","mas etnis tionghoa",1
"342"," pejabat mengomong rakyatnya susah",1
"343"," otak dilepaskan gog",1
"344","jwabanya kayak sekdajawabnya kayak politisi sekda politisi",1
"345"," ikutan bego ya",1
"346"," kadrun cocok minum air",2
"347","dinikmatin mksdnnya tubuh mah airnya minum diminum dasarrrrrrrrrrrrrr",1
"348"," pernyataan tolol orang berpendidikan",1
"349","aka menteri",1
"350","santai ya wakakakaka",2
"351","ayo takon karo",1
"352"," seakan jakarta negeri dongeng",1
"353","ah ",2
"354","ya diminum banjirnya biar tubuh persen air",1
"355","jaka sembung bawa goblok menyambung golokk",1
"356","super super goblok adakah pejabat statementteori goblok tergoblok mengomong take action kontribusi sekedar mengomong coba lihat kebelakang pencapaian perubahan buka mata mindset peka dikit be smart dibodo pemimpin bodoh parahnya membawa isu agama hubungannya konteks posisinya dimana semoga sadar",1
"357","kasih menikmatinya hehe",2
"358","mata kepalamu",1
"359","kadrun muncul kalo anies dikritik",1
"360","aka darurat literasi",1
"361","doi enak rumah nya kagak kebanjiran kena banjir mengalami kerugian",1
"362","mdh an hanyut trbawa air skalian pas banjirntar tinggal bilang tubuh bumi initrdiri air",1
"363","guoblokkkkkkk",1
"364","ok boomer",2
"365"," nontonin orang membela p",2
"366"," kalo rumah rendem air",1
"367","aka pekok",2
"368","semoga merasai rumah kerendem air gasempet nyelamatin barang barang berharga listrik mati makanan air mati amin",1
"369","wwwkk mas ucup",2
"370"," tubuh air banjir langsung mengambang tenggelam kehabisan nafas mengambang rip",1
"371","manajemen air ",1
"372","dasar badut dki",1
"373"," nih gubs sekda nte mengomongnya bencana diwajarkan diurus fokus",1
"374","doi suruh nikmati air banjir bicara kayak otak ",1
"375","positif banget",2
"376"," kak '",1
"377","tag warga kelapa gading disuruh menikmati cid ci",1
"378"," kehilangan akibat banjir ikhlaskan berserah milik tambahkan tuh ",1
"379","hahahhahahah dijanjiin posisi ente sanggup komen kayak manajemen air my ass",1
"380","sahid wkwk popo bingung soale",1
"381"," drun buktinya otak lo",1
"382","eloh muncul kalo jakarta banjir presiden eloh korupsi eloh molor",1
"383","mantap tubuh dicampur air comberan ya",1
"384","saudara kandung anis ya begonya",1
"385","bawahan atasan ",1
"386","au ah geulep",1
"387","hahhhh",2
"388"," gua tampol ya air tubuh air kotor asww",1
"389"," perubahan kayak apapun banjir",2
"390","kelebihan air tubuh berbahaya air berbahaya air kali sungai gorong pemukiman halnya paru berisi udara banjir air mati orangnya",1
"391","solusi pintar",1
"392","gue pengin mukul ",1
"393"," tgg video creator sih bapa sih malam undang mbak nana kerukk kerukkk cipinang sehat sekda",1
"394","gog",1
"395","manusia berkualitas",1
"396","wkwkwkwkwk",2
"397","ya semprul jawbannya",1
"398","aka menteri mane malih",1
"399","ya minum aerr banjir ",1
"400","hadehhhhhh",1
"401","otak pakai drun",1
"402","goblk maksimal",1
"403","kalo pikir lu kayak gabakl berubah ",1
"404"," nyata pjabat daerah bodoh hokinasib posisi nya wkwkw",1
"405"," manajemen otakspy mengomongnya ngelantur",1
"406","pejabat jubir sih nyaring statementnya biar bego banget masyarakat ",1
"407","hahahaha orang kayak bilang banjir segimana tenang ya bos",1
"408"," urusan nya ahokcie cie cie",2
"409","menikmati matamu",1
"410","bacot lu cuman iler doang",1
"411","aka kwkww bawahannya anies bawahannya menterii kocak lu",1
"412","avatar keleus management air kalo bilang dinikmatin lu anies becus nanganin banjir",1
"413","intim ya bang",1
"414","yeah whatever",2
"415"," orang nya sadar dampak sampah penggunaan beton air menyerap dewasa sekolahkan",1
"416","dikiranya masyarakat bego diam ",1
"417","nuh wa menghargai kinerja iya bego ",1
"418"," tubuh sih nya air banjir",1
"419","sih gubernur tergoblog didunia sih sih gubernur terlebay didunia kasihan nasib bangsa ",1
"420"," sekda anjing",1
"421","what the",1
"422","mengakak bakat pelawak bapa ",2
"423"," sekda nya jokowi ahok saefullah orang nya pintar cepat nangkap ",1
"424","au ah",1
"425","sedih",1
"426"," terjancok",1
"427","astagadararagon ya belainnya hatduhh",1
"428","wow menikmati banjir",1
"429","nasib nya bagus kayak sekda",1
"430","sebodoh kah ",1
"431"," sekda terbaik",2
"432","pengin gue aduh lawan mario tegu",2
"433"," ngeles nulai hahaha cie membela ye cebong kampret woy dewasa orang dikritik ngeles",1
"434"," cocok hidup air",2
"435","menejemen halu pokoknya dimanajemenkan",1
"436"," hubungannya banjir maksudnya suruh nyelem air ya biar tubuh nyerap tuh air banjiran",1
"437","congronya",1
"438","pintar",1
"439","air bersih paak tubuh perlukan air luapan hujan pintar keblinger",1
"440","mantaabbbb ilmuan",1
"441","huft",1
"442"," pendukung gubernur pemanggil banjir menikmati banjir jakarta gua ajak minum air banjir biar paham",1
"443","saknoe",1
"444","pragiwaksono bang bahan bang",1
"445"," sarkas ",1
"446","mudah mudahan keluarga nya mengalami banjir tau ngusir air kelar kelar masuk rumah",1
"447","pimpinan anak buahnya guoblok",1
"448","palalu isinya air",1
"449","suruh ahok pejabat dinegaranya china",1
"450"," bantuin bersih lumpur rumah biar menikmati jugabacooot",1
"451","kadrun hepi paham",1
"452","mengakak alesannya",1
"453","lolot",1
"454","nuh lahir banjir perubahan jakarta ya",1
"455","lawak nies",1
"456","tangkap ",1
"457"," wrga jakarta brhrp semoga anies atasi banjir ksian klrg jakarta rumah nya kbnjiran",1
"458","f maru berbagi nikmat ",2
"459"," judul skripsi manajemen air",2
"460","dih heboh lu",1
"461"," rm padang pesan otak ",1
"462"," otaknya",1
"463"," menyambung govlok",1
"464","pemanggil banjir kodok gabener mantan napi ya bong",1
"465","wkakakakakak tertawa",2
"466","ih kzl",1
"467"," ilmiah",1
"468","obat emosi ya kakak",1
"469"," sekda bodoh ya",1
"470"," mengapai ",1
"471","manajemen air astaga",1
"472"," santuy kalo gubenur sekda nya beliau",1
"473","pajak bayar orang orang ya",1
"474","bebas ",2
"475","idih sih drun",1
"476","tunggu akun kirim humaspolri",1
"477","heran deh giliran banjir menyalahkan pemerintah penyebab banjir masyarakat buang sampah sembaranganlah dll pemerintah manusia kali",2
"478","sungguh ",2
"479","teteplah mengomong ",2
"480","monggoooo air banjir nya diminum ",1
"481"," kocak banjir gatot pekerjaan mengatasi banjir gatot kah orla kesempatan",1
"482","minum tuh air",1
"483"," saefullah beda ya btp gubernur anies omongan tuh aneh ngelantur kayak pendapat ya",1
"484","aka bego",1
"485","ya bawahannya ikutan",1
"486"," kantornya digedung mewah kolam empang biar otak menyatu air ",1
"487"," suaminya ibuk hamil gegara habis berenang kolam",1
"488","kayaknya tau a otak",1
"489"," keseringan kebiasaan dimaklumi n dinikmati juooosss otak kah",1
"490","sian nih bapa lu tameng guberner lu wkekek",1
"491"," rumah nya kena banjir tau repot nya rumah kebanjiran",1
"492","yaudah menikmati telen airnya wkwwkw",2
"493","semoga kalimantan selatan kebanjiran",2
"494"," warga jakarta komen ngegas angkat jempolnya",2
"495","amfibi",2
"496"," bayar mahal masyarakat hmmm",1
"497","alangkah lucunya pemerintahan dki",2
"498","kintil banget pmrth otak udang kayak tau uang rakyat kasih gendut keluarga nya",1
"499","vangke berbobot banget jawabannya",1
"500"," menteri nya pinokio bicaranya ngawur banyakpura tau ya bong",1
"501","eh eh eh ",2
"502","oh god kasih statement semoga kerendem banjir badan pertiga air",1
"503"," made day ",2
"504","aaakkk mama gemma",1
"505","semoga rumah masuk air ya manajemen air nya bagus",1
"506"," kzl pengin nabok pejabat angkat sendal haha",1
"507","air oh air",2
"508","situ minum air banjir ya",2
"509","coba contoh hidup air ",2
"510"," ",2
"511","oh ",2
"512"," kayak mentri cebong ya",1
"513","kasihan rakyat capek gaji orang bodoh annccuuurrr juummm",1
"514"," bersyukur lomba tik tok moment banjir sfx tet tet tet tet tet tet tet",1
"515"," iklan pokari sweeed",2
"516","biarkan sekda lahir jakarta banjir kalo musim hujan n gubernurnya mengalami banjir",2
"517"," naruh bawang ",2
"518","atulaah paak beda air tubuh mah bermafaat air banjir meerusak merugikan bangunan negara milik masyarakat",2
"519","jurusan kuliah terbaru management air wkwkwkw",2
"520"," nya macet bykan aaa eee aaa eee",1
"521"," berubah air v",1
"522"," ",2
"523"," persilahkan",2
"524","oke beres ya banjir banjir nikmat",2
"525","penjilat",1
"526","receh",1
"527","wkwk tuh suruh menikmati mantap deh",2
"528"," dislengkat truk molen",1
"529","jaman ahok pns kerja bagus jaman anis pns bawahannya an gubnya begonya",1
"530","sih manajemen air",2
"531","lawakan siang ",2
"532","wokeyyyy mantap",2
"533","suuuuddahh ku dugaaa",2
"534"," tagline air mineral",2
"535","sarua belegugna",1
"536","saeeeee",2
"537","untung jakarta",2
"538"," mendukung unsur taking profit each other",1
"539","lucu lo badut",2
"540","haha wajar dki amburadul orang nya kayak ",1
"541","hahaa persen tubuhbahasanya mengaco",1
"542","bangsud ",1
"543","hahahah",2
"544","minum kubapa atuhbiar mengurangi banjir",1
"545","ayo pendukungnya anies muncul gue tabokin muka lu kagak otak",1
"546","sekda goblokk",1
"547","sa gorengan oncom",2
"548"," kecipratt",2
"549","mantab",2
"550","wongedan mangan aspal",1
"551","luarbiasaaaaaaaaaa",2
"552"," paham fungsinya sekolah kuliah ya ",1
"553","mantap ",2
"554"," kayak mengurus kota",1
"555","pengin ketawa deh gue",2
"556","menteri santuy",1
"557","sepotek enak yaaaaa nyemil tuh kacang bawang isi ",1
"558","mengakak baca statement nyaulalaaaaa",2
"559","kodok anjing",1
"560","ouch",2
"561"," ngeles kadrun habis media motong kalimat sekda otaknya manajemen air",1
"562","seonggok daging otak",1
"563"," kali gua dengar pejabat muka bumi bilang musibah dinikmati mantap ",1
"564"," ikhlas pajak gue bayar oknum pns otak udang ",1
"565"," nih",1
"566","taxpayers money pays this man'sih wage",1
"567","aka sekda mentri",1
"568","tubuh air otak persen ya tubuh manusia",1
"569","kimak kao",2
"570","pengin gue deh",1
"571"," klan pengendali air",2
"572","taekkkkkk",1
"573"," dibutuhkan masyarakat ",1
"574"," menyambung sekda joko sembung nganggo pincuk menyambung cuk",1
"575","nikmati enjoy pokoknya ya ",2
"576"," ",1
"577","solusinya dinikmati",1
"578"," privileged people mengomong coba bapaknya rasai kebanjiran mengomong ",1
"579","statement dungu",1
"580","nainggolan hahahaha lucu suer",1
"581","pengin gue omelin bapaknya ",1
"582","dinikmatiii gundulmu rumah banjir sepaha dinikmati",1
"583","woo aduh otaknya kelebihan air",1
"584"," sepinter nyuruh menikmati bencana",1
"585","semalam mata najwa bijaksana jawabannya otak mikir orang kayak kepilih sekda dunia lo rame kali ya",1
"586","bumi air mantap",2
"587","wkwkwkwk sue",2
"588","menikmati coba kak masyarakat kali kena banjir minggu menikmati banjir",1
